sub_id,parent_id,parent_name,package_name,card_name,sale_price,original_price,target_gender,age_min,age_max,total_tests,is_404,test_list,expiry,url
1012,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Oxidized LDL (Innotech)),Oxidized LDL (Innotech),5500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1012/sub
1013,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (LDL subclasses),LDL subclasses,10400,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1013/sub
1014,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Lipoprotein (a)),Lipoprotein (a),1500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1014/sub
1015,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (APOE (Vascular)),APOE (Vascular),3750,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1015/sub
1016,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (TMAO),TMAO,6750,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1016/sub
1017,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Chelation Detox 1 ครั้ง),Chelation Detox 1 ครั้ง,6500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1017/sub
1018,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Chelation Detox 5 ครั้ง),Chelation Detox 5 ครั้ง,31000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1018/sub
1019,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Chelation Detox 10 ครั้ง),Chelation Detox 10 ครั้ง,58500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1019/sub
1020,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (High C 1 ครั้ง),High C 1 ครั้ง,6500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1020/sub
1021,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (High C 5 ครั้ง),High C 5 ครั้ง,31000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1021/sub
1022,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (High C 10 ครั้ง),High C 10 ครั้ง,58500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1022/sub
